date,time,workday,weather,1016-140,1034-216-1,1038-276,1025-116,9000000619,1947-211,1946-230-1,1935-230,1035-136,9000001783,1014-150,1001-156,1021-156,0174-1,0855-1,1010-1
2020-10-04,0.0,0.0,good,,57.0,,,,,,,,,,,,,,
2020-10-04,1.0,0.0,good,,,,,,,,,,,,,,,,
2020-10-04,2.0,0.0,good,,,,,,,,16.0,,,,,,,,
2020-10-04,3.0,0.0,good,,,,,,,,,,,,,,,,
2020-10-04,4.0,0.0,good,,,,,,,,,,,,102.0,78.0,,,
2020-10-04,5.0,0.0,good,,,,,,,,,,,,,,201.0,321.0,165.0
2020-10-05,6.0,1.0,good,,27.0,,,,,,,,,,,,,,
2020-10-05,7.0,1.0,good,,,,,,,,,,,,,,,,
2020-10-05,8.0,1.0,good,,,,,,,,2.0,,,,,,,,
2020-10-05,9.0,1.0,good,,,,,,,,,,,,,,,,
2020-10-05,10.0,1.0,good,,,,,,,,,,,,37.0,51.0,,,
2020-10-05,11.0,1.0,good,,,,,,,,,,,,,,111.0,211.0,92.0
2020-10-05,12.0,1.0,good,,14.0,,,,,,,,,,,,,,
2020-10-05,13.0,1.0,good,,,,,,,,,,,,,,,,
2020-10-05,14.0,1.0,good,,,,,,,,3.0,,,,,,,,
2020-10-05,15.0,1.0,good,,,,,,,,,,,,,,,,
2020-10-05,16.0,1.0,good,,,,,,,,,,,,23.0,27.0,,,
2020-10-05,17.0,1.0,good,,,,,,,,,,,,,,72.0,199.0,65.0
2020-10-05,18.0,1.0,good,,16.0,,,,,,,,,,,,,,
2020-10-05,19.0,1.0,good,,,,,,,,,,,,,,,,
2020-10-05,20.0,1.0,good,,,,,,,,2.0,,,,,,,,
2020-10-05,21.0,1.0,good,,,,,,,,,,,,,,,,
2020-10-05,22.0,1.0,good,,,,,,,,,,,,23.0,31.0,,,
2020-10-05,23.0,1.0,good,,,,,,,,,,,,,,85.0,179.0,58.0
2020-10-05,0.0,1.0,good,,10.0,,,,,,,,,,,,,,
2020-10-05,1.0,1.0,good,,,,,,,,,,,,,,,,
2020-10-05,2.0,1.0,good,,,,,,,,3.0,,,,,,,,
2020-10-05,3.0,1.0,good,,,,,,,,,,,,,,,,
2020-10-05,4.0,1.0,good,,,,,,,,,,,,18.0,28.0,,,
2020-10-05,5.0,1.0,good,,,,,,,,,,,,,,93.0,187.0,62.0
2020-10-05,6.0,1.0,good,,32.0,,,,,,,,,,,,,,
2020-10-05,7.0,1.0,good,,,,,,,,,,,,,,,,
2020-10-05,8.0,1.0,good,,,,,,,,13.0,,,,,,,,
2020-10-05,9.0,1.0,good,,,,,,,,,,,,,,,,
2020-10-05,10.0,1.0,good,,,,,,,,,,,,75.0,83.0,,,
2020-10-05,11.0,1.0,good,,,,,,,,,,,,,,217.0,356.0,182.0
2020-10-05,12.0,1.0,good,,154.0,,,,,,,,,,,,,,
2020-10-05,13.0,1.0,good,,,,,,,,,,,,,,,,
2020-10-05,14.0,1.0,good,,,,,,,,33.0,,,,,,,,
2020-10-05,15.0,1.0,good,,,,,,,,,,,,,,,,
2020-10-05,16.0,1.0,good,,,,,,,,,,,,375.0,429.0,,,
2020-10-05,17.0,1.0,good,,,,,,,,,,,,,,1093.0,1487.0,956.0
2020-10-05,18.0,1.0,good,,349.0,,,,,,,,,,,,,,
2020-10-05,19.0,1.0,good,,,,,,,,,,,,,,,,
2020-10-05,20.0,1.0,good,,,,,,,,69.0,,,,,,,,
2020-10-05,21.0,1.0,good,,,,,,,,,,,,,,,,
2020-10-05,22.0,1.0,good,,,,,,,,,,,,889.0,1278.0,,,
2020-10-05,23.0,1.0,good,,,,,,,,,,,,,,2930.0,3226.0,2113.0
2020-10-05,0.0,1.0,good,,555.0,,,208.26446280991692,,,,,,,,,,,
2020-10-05,1.0,1.0,good,,,,,,,,,,,,,,,,
2020-10-05,2.0,1.0,good,,,,,,,,153.0,,,,,,,,
2020-10-05,3.0,1.0,good,,,,,,,,,,,,,,,,
2020-10-05,4.0,1.0,good,,,,,,,,,,,,1015.0,1521.0,,,
2020-10-05,5.0,1.0,good,,,,,,,,,,,,,,3836.0,3789.0,2488.0
2020-10-05,6.0,1.0,good,,526.0,,,192.5133689839573,,,,,,,,,,,
2020-10-05,7.0,1.0,good,,,,,,,,,,,,,,,,
2020-10-05,8.0,1.0,good,,,,,,,,188.0,,,,,,,,
2020-10-05,9.0,1.0,good,,,,,,,,,,,,,,,,
2020-10-05,10.0,1.0,good,,,,,,,,,,,,976.0,1304.0,,,
2020-10-05,11.0,1.0,good,,,,,,,,,,,,,,3401.0,2829.0,2195.0
2020-10-05,12.0,1.0,good,,454.0,,,178.6309308221661,,,,,,,,,,,
2020-10-05,13.0,1.0,good,,,,,,,,,,,,,,,,
2020-10-05,14.0,1.0,good,,,,,,,,123.0,,,,,,,,
2020-10-05,15.0,1.0,good,,,,,,,,,,,,,,,,
2020-10-05,16.0,1.0,good,,,,,,,,,,,,802.0,1055.0,,,
2020-10-05,17.0,1.0,good,,,,,,,,,,,,,,2209.0,2210.0,1682.0
2020-10-05,18.0,1.0,good,,555.0,,,140.08311295806558,,,,,,,,,,,
2020-10-05,19.0,1.0,good,,,,,,,,,,,,,,,,
2020-10-05,20.0,1.0,good,,,,,,,,114.0,,,,,,,,
2020-10-05,21.0,1.0,good,,,,,,,,,,,,,,,,
2020-10-05,22.0,1.0,good,,,,,,,,,,,,812.0,985.0,,,
2020-10-05,23.0,1.0,good,,,,,,,,,,,,,,1997.0,2006.0,1486.0
2020-10-05,0.0,1.0,good,,583.0,,,178.96749521988565,,,,,,,,,,,
2020-10-05,1.0,1.0,good,,,,,,,,,,,,,,,,
2020-10-05,2.0,1.0,good,,,,,,,,93.0,,,,,,,,
2020-10-05,3.0,1.0,good,,,,,,,,,,,,,,,,
2020-10-05,4.0,1.0,good,,,,,,,,,,,,761.0,1041.0,,,
2020-10-05,5.0,1.0,good,,,,,,,,,,,,,,2140.0,2188.0,1578.0
2020-10-05,6.0,1.0,good,,613.0,,,202.684563758389,,,,,,,,,,,
2020-10-05,7.0,1.0,good,,,,,,,,,,,,,,,,
2020-10-05,8.0,1.0,good,,,,,,,,118.0,,,,,,,,
2020-10-05,9.0,1.0,good,,,,,,,,,,,,,,,,
2020-10-05,10.0,1.0,good,,,,,,,,,,,,831.0,1031.0,,,
2020-10-05,11.0,1.0,good,,,,,,,,,,,,,,2211.0,2188.0,1512.0
2020-10-05,12.0,1.0,good,,647.0,,,185.134592205705,,,,,,,,,,,
2020-10-05,13.0,1.0,good,,,,,,,,,,,,,,,,
2020-10-05,14.0,1.0,good,,,,,,,,154.0,,,,,,,,
2020-10-05,15.0,1.0,good,,,,,,,,,,,,,,,,
2020-10-05,16.0,1.0,good,,,,,,,,,,,,867.0,1008.0,,,
2020-10-05,17.0,1.0,good,,,,,,,,,,,,,,2357.0,2286.0,1713.0
2020-10-05,18.0,1.0,good,,778.0,,,237.0931112793338,,,,,,,,,,,
2020-10-05,19.0,1.0,good,,,,,,,,,,,,,,,,
2020-10-05,20.0,1.0,good,,,,,,,,256.0,,,,,,,,
2020-10-05,21.0,1.0,good,,,,,,,,,,,,,,,,
2020-10-05,22.0,1.0,good,,,,,,,,,,,,860.0,977.0,,,
2020-10-05,23.0,1.0,good,,,,,,,,,,,,,,2606.0,2743.0,1909.0
2020-10-05,0.0,1.0,good,,872.0,,,396.57454262358965,,,,,,,,,,,
2020-10-05,1.0,1.0,good,,,,,,,,,,,,,,,,
2020-10-05,2.0,1.0,good,,,,,,,,244.0,,,,,,,,
2020-10-05,3.0,1.0,good,,,,,,,,,,,,,,,,
2020-10-05,4.0,1.0,good,,,,,,,,,,,,894.0,942.0,,,
2020-10-05,5.0,1.0,good,,,,,,,,,,,,,,2625.0,3085.0,1939.0
2020-10-05,6.0,1.0,good,,801.0,,,388.0733944954129,,,,,,,,,,,
2020-10-05,7.0,1.0,good,,,,,,,,,,,,,,,,
2020-10-05,8.0,1.0,good,,,,,,,,272.0,,,,,,,,
2020-10-05,9.0,1.0,good,,,,,,,,,,,,,,,,
2020-10-05,10.0,1.0,good,,,,,,,,,,,,877.0,969.0,,,
2020-10-05,11.0,1.0,good,,,,,,,,,,,,,,2565.0,2924.0,2021.0
2020-10-05,12.0,1.0,good,,789.0,,,208.10014727540528,,,,,,,,,,,
2020-10-05,13.0,1.0,good,,,,,,,,,,,,,,,,
2020-10-05,14.0,1.0,good,,,,,,,,210.0,,,,,,,,
2020-10-05,15.0,1.0,good,,,,,,,,,,,,,,,,
2020-10-05,16.0,1.0,good,,,,,,,,,,,,877.0,980.0,,,
2020-10-05,17.0,1.0,good,,,,,,,,,,,,,,2425.0,2453.0,1905.0
2020-10-05,18.0,1.0,good,,749.0,,,201.49253731343282,,,,,,,,,,,
2020-10-05,19.0,1.0,good,,,,,,,,,,,,,,,,
2020-10-05,20.0,1.0,good,,,,,,,,153.0,,,,,,,,
2020-10-05,21.0,1.0,good,,,,,,,,,,,,,,,,
2020-10-05,22.0,1.0,good,,,,,,,,,,,,858.0,893.0,,,
2020-10-05,23.0,1.0,good,,,,,,,,,,,,,,2020.0,1986.0,1546.0
2020-10-05,0.0,1.0,good,,625.0,,,,,,,,,,,,,,
2020-10-05,1.0,1.0,good,,,,,,,,,,,,,,,,
2020-10-05,2.0,1.0,good,,,,,,,,122.0,,,,,,,,
2020-10-05,3.0,1.0,good,,,,,,,,,,,,,,,,
